iter	Logloss
0	0.6248494728
1	0.5785015048
2	0.5317428461
3	0.4984439969
4	0.4688327509
5	0.4428645289
6	0.4199513167
7	0.3993361369
8	0.3848393782
9	0.3733271124
10	0.3610733175
11	0.35267077
12	0.3455050064
13	0.3394538375
14	0.3342339277
15	0.3279923136
16	0.3226307699
17	0.3193115617
18	0.3157241841
19	0.3127795348
20	0.3100982257
21	0.3070568509
22	0.3046131326
23	0.303011795
24	0.3009682681
25	0.2982968846
26	0.2968075898
27	0.2955353394
28	0.2937704941
29	0.292757263
30	0.291522688
31	0.2900508335
32	0.2889169378
33	0.2879570475
34	0.2871984
35	0.2861913587
36	0.2856583081
37	0.2848936055
38	0.2843471967
39	0.2838141187
40	0.2833267118
41	0.28277161
42	0.2824310325
43	0.2819746088
44	0.2813993275
45	0.2808545223
46	0.2804702511
47	0.2801614149
48	0.2798678032
49	0.2794841775
50	0.2791959181
51	0.2788510809
52	0.2783819758
53	0.2780084948
54	0.2776656664
55	0.2773375785
56	0.2770014624
57	0.2766989481
58	0.276523918
59	0.2761403594
60	0.275893115
61	0.2756365966
62	0.2754687919
63	0.2750998983
64	0.274845796
65	0.2745667851
66	0.2743423108
67	0.2741231126
68	0.2739045782
69	0.2737738211
70	0.2735462306
71	0.2734562245
72	0.2732577255
73	0.2730943744
74	0.2728706073
75	0.2726411977
76	0.2725107253
77	0.27231122
78	0.2721589412
79	0.2719255219
80	0.2718059307
81	0.2717094161
82	0.2716092617
83	0.2714254087
84	0.2713060055
85	0.2711681712
86	0.2710313376
87	0.2708843234
88	0.2707588224
89	0.2706360989
90	0.2704940426
91	0.2703618059
92	0.2702318567
93	0.2700874452
94	0.269961096
95	0.2698057311
96	0.2696712508
97	0.269507979
98	0.2693691422
99	0.2691759692
100	0.2690478826
101	0.2689165865
102	0.2687983694
103	0.2686813868
104	0.268596209
105	0.2685112614
106	0.2683885497
107	0.2682940012
108	0.2682170823
109	0.2680549761
110	0.2679234216
111	0.2677797548
112	0.2677220805
113	0.2676361165
114	0.2675556738
115	0.2674541517
116	0.2672926476
117	0.2672203985
118	0.2670888019
119	0.2669357903
120	0.2668364484
121	0.2666682423
122	0.2665983146
123	0.2664487304
124	0.2663808484
125	0.2663099006
126	0.2662730824
127	0.2661454654
128	0.2660714039
129	0.2659777073
130	0.2658055868
131	0.2657043264
132	0.265582463
133	0.2654688554
134	0.265414758
135	0.2653655737
136	0.2652918991
137	0.2651746864
138	0.2650805113
139	0.2649735056
140	0.2648611187
141	0.2647903754
142	0.2647741642
143	0.2646842561
144	0.2646009762
145	0.2645193601
146	0.2643948795
147	0.2643337667
148	0.2641795159
149	0.2640952052
150	0.2639844377
151	0.2638848914
152	0.2638063187
153	0.2637193709
154	0.2636276779
155	0.2635273925
156	0.2634338024
157	0.2633775743
158	0.2633018144
159	0.2632153771
