iter	Passed	Remaining
0	200	200287
1	220	109964
2	233	77639
3	245	61159
4	257	51278
5	269	44687
6	281	39943
7	293	36417
8	306	33709
9	318	31506
10	330	29689
11	341	28141
12	353	26864
13	366	25788
14	377	24807
15	389	23968
16	401	23236
17	417	22758
18	433	22364
19	445	21805
20	457	21333
21	470	20906
22	482	20493
23	494	20093
24	505	19721
25	518	19427
26	531	19151
27	543	18880
28	555	18605
29	567	18352
30	579	18123
31	592	17911
32	604	17710
33	616	17529
34	629	17345
35	641	17178
36	653	17012
37	665	16857
38	678	16707
39	690	16567
40	700	16392
41	712	16252
42	724	16123
43	736	15999
44	748	15887
45	760	15771
46	772	15673
47	785	15570
48	797	15477
49	809	15379
50	821	15285
51	833	15191
52	845	15100
53	857	15015
54	868	14930
55	881	14853
56	896	14832
57	917	14896
58	929	14822
59	942	14762
60	954	14693
61	967	14630
62	978	14554
63	990	14488
64	1003	14437
65	1017	14396
66	1029	14341
67	1041	14278
68	1053	14216
69	1065	14159
70	1077	14103
71	1089	14045
72	1102	13994
73	1112	13927
74	1125	13875
75	1137	13828
76	1149	13784
77	1161	13734
78	1173	13684
79	1186	13639
80	1197	13587
81	1208	13532
82	1220	13488
83	1233	13446
84	1244	13397
85	1256	13353
86	1268	13314
87	1280	13274
88	1293	13235
89	1305	13195
90	1316	13153
91	1329	13118
92	1341	13082
93	1353	13045
94	1365	13007
95	1377	12972
96	1390	12940
97	1402	12907
98	1414	12875
99	1426	12841
100	1438	12802
101	1450	12769
102	1462	12735
103	1474	12701
104	1485	12663
105	1497	12628
106	1510	12604
107	1522	12571
108	1534	12543
109	1546	12511
110	1558	12481
111	1570	12448
112	1582	12418
113	1593	12387
114	1605	12357
115	1617	12326
116	1630	12304
117	1642	12276
118	1654	12246
119	1666	12220
120	1678	12190
121	1690	12165
122	1701	12134
123	1713	12108
124	1725	12081
125	1737	12052
126	1748	12020
127	1760	11994
128	1772	11969
129	1784	11944
130	1796	11919
131	1808	11894
132	1821	11871
133	1832	11844
134	1844	11815
135	1855	11787
136	1867	11761
137	1879	11739
138	1891	11717
139	1905	11705
140	1928	11750
141	1941	11729
142	1951	11697
143	1963	11673
144	1975	11648
145	1987	11626
146	2001	11613
147	2013	11589
148	2026	11572
149	2038	11550
150	2050	11529
151	2062	11505
152	2074	11482
153	2085	11458
154	2097	11435
155	2110	11420
156	2125	11412
157	2139	11399
158	2152	11386
159	2166	11375
160	2179	11359
